EAN;Produto;Preço (R$);Link
5413787041794;Zyxem 5mg, 10 comprimidos revestidos;71.36;https://www.drogaven.com.br/zyxem-5mg-10-comprimidos-revestidos/p
7896671601324;Shampoo Flores & Vegetais Sete Ervas 300mL;33.22;https://www.drogaven.com.br/shampoo-flores-vegetais-sete-ervas-300ml/p
7896094929111;Creme Antiassaduras Nebacetin Baby Regeneração 60g;60.26;https://www.drogaven.com.br/nebacetin-baby-creme-regeneracao-60g/p
7898040329181;Fortalize S Exímia 30 comprimidos;195.9;https://www.drogaven.com.br/fortalize-s-eximia-30-comprimidos/p
7891150102583;Condicionador Dove Reconstrução Aminoácido 600ml;48.57;https://www.drogaven.com.br/condicionador-dove-reconstrucaoaminoacido-600ml/p
7896114312817;Fita Dental Sanifil Premium menta, fita com 125m;15.58;https://www.drogaven.com.br/fita-dental-sanifil-premium-menta-fita-com-125m/p
7891058021702;Suplemento alimentar Targifor Imunidade A-Z 60 cápsulas -Pharmaton Imunidade e Energia;109.3;https://www.drogaven.com.br/pharmaton-imunidade-e-energia-60-capsulas/p
7896094929074;Creme Antiassaduras Nebacetin Baby Prevenção 120g;61.53;https://www.drogaven.com.br/nebacetin-baby-creme-prevencao-120g/p
7897595903914;Sabonete Íntimo Dermacyd Pro•Bio delicata jasmim, líquido 200mL;29.3;https://www.drogaven.com.br/sabonete-intimo-dermacyd-probio-delicata-jasmim-liquido-200ml/p
7897930777873;Loção Hidratante Cetaphil 236mL;87.12;https://www.drogaven.com.br/hidratante-corporal-cetaphil-pele-normal-a-seca-e-sensivel-200ml/p
7897076914088;Esomeprazol Magnésico Ranbaxy 40mg, 28 comprimidos revestidos;78.39;https://www.drogaven.com.br/esomeprazol-magnesico-ranbaxy-40mg-28-comprimidos-revestidos/p
7899095200586;Hiluropt 1,5mg/mL Solução Uso Oftálmico (10mL);45.21;https://www.drogaven.com.br/hiluropt-15mgml-frasco-com-10ml-de-solucao-de-uso-oftalmico/p
7896584151824;Meia 7/8 Kendall 20-30mmHg G, Sem Ponteira, Mel;146.03;https://www.drogaven.com.br/meia-78-kendall-20-30mmhg-g-sem-ponteira-mel/p
7895800309780;Goma de Mascar Trident Melancia 8g;3.82;https://www.drogaven.com.br/goma-de-mascar-trident-melancia-8g/p
7896082900351;Acnase Creme 50mg/g + 20mg/g, creme dermatológico, bisnaga com 25g;51.85;https://www.drogaven.com.br/acnase-creme-50mgg-20mgg-creme-dermatologico-bisnaga-com-25g/p
7894900681017;Refrigerante Sprite original, lata com 350mL;5.1;https://www.drogaven.com.br/refrigerante-sprite-original-lata-com-350ml/p
7891150083592;Shampoo Seda Juntinhos Crespos Encantados Tiana 300mL;15.58;https://www.drogaven.com.br/shampoo-seda-juntinhos-crespos-encantados-tiana-300ml/p
7891150100312;Shampoo Tresemmé Blindagem Antiumidade 650mL;42.04;https://www.drogaven.com.br/shampoo-tresemme-650ml-blindagem-antiumidade/p
7897129304781;Aloxidil 50mg/mL, 60mL de solução de uso capilar + válvula spray;80.09;https://www.drogaven.com.br/aloxidil-50mg-ml-60ml-de-solucao-de-uso-capilar-valvula-spray/p
7891317013844;Algie 150mg, 10 comprimidos de liberação prolongada;51.21;https://www.drogaven.com.br/algie-150mg-10-comprimidos-de-liberacao-prolongada/p
7896637023115;Meclin 25mg, 15 comprimidos;26.44;https://www.drogaven.com.br/meclin-25mg-15-comprimidos/p
7894222010861;Esmalte Cremoso Dailus Atrás do Arco-íris lágrima de unicórnio;10.77;https://www.drogaven.com.br/esmalte-cremoso-dailus-atras-do-arco-iris-lagrima-de-unicornio/p
7501001100285;Escova Dental Oral-B Pro-Saúde 7 Benefícios nº 40, macia, sortida com 2 unidades;29.39;https://www.drogaven.com.br/escova-dental-oral-b-pro-saude-7-beneficios-no-40-macia-sortida-com-2-unidades/p
7891010877620;Condicionador de Glicerina Johnson's Baby Regular 400mL;46.84;https://www.drogaven.com.br/condicionador-de-glicerina-johnsons-baby-regular-400ml/p
7891035010958;Strepsils 8,75mg, 8 pastilhas, laranja;15.67;https://www.drogaven.com.br/strepsils-875mg-8-pastilhas-laranja/p
7898662431057;Perfume Amakha Paris Escandalosa Feminino 15;32.24;https://www.drogaven.com.br/perfume-amakha-paris-escandalosa-feminino-15ml/p
7891150001268;Shampoo Anticaspa Clear Men Queda Control 400mL;38.12;https://www.drogaven.com.br/shampoo-anticaspa-clear-men-queda-control-400ml/p
7896094909182;Epocler 100mg/mL + 50mg/mL + 10mg/mL, 6 flaconetes com 10mL de solução de uso oral;23.28;https://www.drogaven.com.br/epocler-100mgml-50mgml-10mgml-6-flaconetes-com-10ml-de-solucao-de-uso-oral/p
7896422513173;Domperidona Medley 1mg/mL, frasco com 100mL de suspensão de uso oral + 1 pipeta dosadora;28.11;https://www.drogaven.com.br/domperidona-medley-1mgml-frasco-com-100ml-de-suspensao-de-uso-oral-1-pipeta-dosadora/p
7894916140423;Pantoprazol Sódico Sesqui-Hidratado Legrand 20mg, caixa com 28 comprimidos revestidos;13.7;https://www.drogaven.com.br/pantoprazol-20mg-28cpr-legrand-generico/p
7893454100678;Tandene 125mg + 50mg + 300mg + 30mg, 15 comprimidos;13.94;https://www.drogaven.com.br/tandene-125mg-50mg-300mg-30mg-15-comprimidos/p
7898103651068;Cloridrato de Naratriptana Nova Química 2,5mg, 8 comprimidos revestidos;26.4;https://www.drogaven.com.br/naratriptana-25mg-8cpr-novaquimica-generico/p
78938861;Bala Halls Uva Verde 28g;3.82;https://www.drogaven.com.br/bala-halls-uva-verde-28g/p
7896000722577;Kit Niely Gold Nutrição Poderosa shampoo com 300mL + condicionador com 200mL;29.3;https://www.drogaven.com.br/kit-niely-gold-nutricao-poderosa-shampoo-com-300ml-condicionador-com-200ml/p
7891150014107;Shampoo Anticaspa Clear Men Controle da Coceira 200mL;25.38;https://www.drogaven.com.br/shampoo-anticaspa-clear-men-controle-da-coceira-200ml/p
7891106915595;Firialta 10mg, caixa com 28 comprimidos revestidos;193.94;https://www.drogaven.com.br/firialta-10mg-28cpr-rev/p
7896112401391;Maleato de Enalapril 10mg 30 Comprimidos Biolab Genérico;5.85;https://www.drogaven.com.br/enalapril-10mg-30cpr-biolab-generico-fp/p
7897337705899;Renitec 5mg, 30 comprimidos;39.07;https://www.drogaven.com.br/renitec-5mg-30-comprimidos/p
7896090611959;Sonridor Rapid + Forte Paracetamol 500mg + Cafeína 65mg 10 comprimidos;12.93;https://www.drogaven.com.br/sonridor-rapid-forte-500mg65mg-10cpr/p
7896658034220;Zyad Diário 5mg, 30 comprimidos revestidos;88.64;https://www.drogaven.com.br/zyad-diario-5mg-30-comprimidos-revestidos/p
7896004706764;Celergin Maleato de Dexclorfeniramina 0,25mg/5mL + Betametasona 2mg/5mL xarope 120mL;34.1;https://www.drogaven.com.br/celergin-120ml/p
7896658030369;Betadine XR 48mg, 30 comprimidos de liberação prolongada;78.68;https://www.drogaven.com.br/betadine-xr-48mg-30-comprimidos-de-liberacao-prolongada/p
7897460401804;Gaballon 50mg + 50mg + 2mg + 4mg + 4mg, 60 comprimidos;108.24;https://www.drogaven.com.br/gaballon-50mg-50mg-2mg-4mg-4mg-60-comprimidos/p
7702010130755;Escova Dental Infantil Colgate Smiles 2 a 5 anos, Minions, suave com 2 unidades;29.3;https://www.drogaven.com.br/escova-dental-infantil-colgate-smiles-2-a-5-anos-minions-suave-com-2-unidades/p
7891150099852;Creme para Pentear Seda Luminous UV 300ml;12.64;https://www.drogaven.com.br/creme-pentear-seda-luminous-uv-300ml/p
7896036521519;Mamadeira Neopan Decorada 6+ meses, sem alça, azul com capacidade de 250mL;31.07;https://www.drogaven.com.br/mamadeira-neopan-decorada-6-meses-sem-alca-azul-com-capacidade-de-250ml/p
7899551301284;Ezetimiba Biolab Genéricos 10mg, caixa com 30 comprimidos;40.37;https://www.drogaven.com.br/ezetimiba-10mg-30cpr-biolab-generico/p
7896672202902;Clenil HFA 250mcg/dose, tubo com 200 doses de suspensão de uso inalatório + 1 dispositivo oral;71.82;https://www.drogaven.com.br/clenil-hfa-250mcgdose-tubo-com-200-doses-de-suspensao-de-uso-inalatorio-1-dispositivo-oral/p
