EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação;Preço Drogaven;Preço Drogal;Preço DrogaRaia
4005900937520;C;DESODORANTE NIVEA AEROSOL BLACK&PEARL 150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
7791969016036;C;DESODORANTE NIVEA AEROSOL FEM  DRY 92G/150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
4005900715814;C;DESODORANTE NIVEA AEROSOL FEM DEOMILK SENSITIVE ;Drogaven;16.16;14.73;DROGACENTRO;14.73;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;16.16;0;0
4005808631322;C;DESODORANTE NIVEA AEROSOL FEM DERMO CLAREADOR 90G/150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
7791969016012;D;DESODORANTE NIVEA AEROSOL FEM FRESH NATURAL 92G/150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
4005900036667;C;DESODORANTE NIVEA AEROSOL FEM INVISIBLE BLACK WHITE 150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
4005900122186;C;DESODORANTE NIVEA AEROSOL FEM PROTECT&CARE 150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
4005900396938;C;DESODORANTE NIVEA AEROSOL FOR MEN 90/150ML;Drogaven;13.71;13.79;Drogaven;13.71;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;13.71;0;0
7791969016029;C;DESODORANTE NIVEA AEROSOL FOR MEN DRY IMPACT 92G/150ML;Drogaven;13.71;13.79;Drogaven;13.71;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;13.71;0;0
4005900707536;C;DESODORANTE NIVEA AEROSOL MAS DEEP ORIGINAL 150ML;Drogaven;13.91;13.94;Drogaven;13.91;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.91;0;0
4005900707543;C;DESODORANTE NIVEA AEROSOL MASC DEEP AMADEIRADO 150ML;Drogaven;13.91;13.94;Drogaven;13.91;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.91;0;0
4005900950925;D;DESODORANTE NIVEA FEM AEROSOL DERMA CLINICAL 150ML;Drogaven;16.16;15.36;DROGACENTRO;15.36;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;16.16;0;0
4006000045498;C;DESODORANTE NIVEA FEM DERMA PROTECT CLINICAL 54G;Drogal;26.35;24.31;DROGACENTRO;24.31;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;26.35;0
4005900950918;C;DESODORANTE NIVEA MEN AEROSOL DERMA CLINICAL 150ML ;Drogaven;16.16;15.13;DROGACENTRO;15.13;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;16.16;0;0
4006000015361;C;DESODORANTE NIVEA MEN AEROSOL FRESH SENSATION 150ML ;DrogaRaia;12.6;13.94;DrogaRaia;12.6;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;0;12.6
