EAN;Menor preço (R$);Origem;Produto;Link;Drogaven;Drogal;DrogaRaia
4005900429643;17.29;Drogal;"Desodorante Antitranspirante Aerosol Nivea Invisible Black &amp; White Fresh 150ml";https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-fresh-150ml/p;0.0;17.29;0
4005900646491;69.75;Drogal;Protetor Solar Facial Nivea UV Face Q10 Anti-Idade FPS60 50ml;https://www.drogal.com.br/protetor-solar-facial-nivea-beauty-expert-pele-normal-a-seca-fps60-50g/p;0.0;69.75;0
3282770393965;76.25;Drogal;Creme Nutritivo Corporal Nutriol Intensivo 400g;https://www.drogal.com.br/creme-nutritivo-corporal-nutriol-intensivo-400g/p;0.0;76.25;0
7908458321377;15.85;Drogal;Óleo de Tratamento Capilar Salon Line SOS Cachos Super Óleos Nutrição Extraordinária 42ml;https://www.drogal.com.br/oleo-de-tratamento-capilar-salon-line-sos-cachos-super-oleos-nutricao-extraordinaria-42ml/p;0.0;15.85;0
7896548113479;24.19;Drogal;Claril Solução Oftálmica Estéril 15ml;https://www.drogal.com.br/claril-solucao-oftalmica-esteril-15ml/p;0.0;24.19;0
7896658018787;77.09;Drogal;Bravan HCT 160mg + 25mg 30 Comprimidos Revestidos;https://www.drogal.com.br/bravan-hct-160mg-25mg-30-comprimidos-revestidos/p;0.0;77.09;0
7891058005535;138.19;Drogal;Stilnox 12,5mg 28 Comprimidos de Liberação Prolongada;https://www.drogal.com.br/stilnox-125mg-28-comprimidos-de-liberacao-prolongada/p;0.0;138.19;0
7899838832845;137.29;Drogal;Inalador Compressor Neb Plus Multilaser HC110 Bivolt;https://www.drogal.com.br/inalador-compressor-neb-plus-bivolt-multilaser-hc110/p;0.0;137.29;0
7897411650787;67.54;Drogal;Benicar ODT 20mg 30 Comprimidos Orodispersíveis;https://www.drogal.com.br/benicar-odt-20mg-30-comprimidos-orodispersiveis/p;0.0;67.54;0
7896637035361;10.3;Drogal;Meclin Move 5 Comprimidos;https://www.drogal.com.br/meclin-move-5-comprimidos/p;0.0;10.3;0
7891150083615;14.89;Drogal;Condicionador Seda Juntinhos Moana Cachos Encantados 300ml;https://www.drogal.com.br/condicionador-seda-juntinhos-moana-cachos-encantados-300ml/p;0.0;14.89;0
7896671620028;25.39;Drogal;Shampoo Flores e Vegetais Jaborandi e Arnica 310ml;https://www.drogal.com.br/shampoo-flores-e-vegetais-jaborandi-e-arnica-310ml/p;0.0;25.39;0
7896094201378;59.19;Drogal;Libiam 1,25mg 28 Comprimidos;https://www.drogal.com.br/libiam-125mg-28-comprimidos/p;0.0;59.19;0
7891058021702;88.99;Drogal;Suplemento Alimentar Targifor Imunidade A-Z 60 Cápsulas;https://www.drogal.com.br/suplemento-alimentar-targifor-imunidade-a-z-60-capsulas/p;0.0;88.99;0
7500435118514;20.69;Drogal;Creme para Pentear Crespo Hidra-vitaminado Pantene 240g;https://www.drogal.com.br/cr-pt-pantene-240ml-cach-hid-v/p;0.0;20.69;0
7898099063173;3.09;Drogal;Doce de Leite Pingo de Ouro Iceali Tradicional 20g;https://www.drogal.com.br/doce-de-leite-pingo-de-ouro-iceali-tradicional-20g/p;0.0;3.09;0
7506309865393;17.99;Drogal;"Shampoo Anticaspa Head&amp;Shoulders Men 3 em 1 200ml";https://www.drogal.com.br/shampoo-cuidados-com-a-raiz-headshoulders-men-3-em-1-200ml/p;0.0;17.99;0
7896004703565;12.09;Drogal;Dexametasona 1mg/ml EMS 120ml;https://www.drogal.com.br/dexametasona-1mg-ml-ems-120ml/p;0.0;12.09;0
7896714292151;77.99;Drogal;Laxante Fitoterápico Naturetti Geleia 130g;https://www.drogal.com.br/naturetti-geleia-130g/p;0.0;77.99;0
7896226109930;185.39;Drogal;Suplemento Alimentar Caldê Max 2.000 UI 30 Comprimidos;https://www.drogal.com.br/suplemento-alimentar-calde-max-30-comprimidos-revestidos/p;0.0;185.39;0
7896714273525;15.69;Drogal;Miorrelax 30 Comprimidos Relaxante Muscular;https://www.drogal.com.br/miorrelax-30-comprimidos-relaxante-muscular/p;0.0;15.69;0
7896637023047;89.99;Drogal;Reuquinol 400mg 30 Comprimidos Revestidos;https://www.drogal.com.br/reuquinol-400mg-30-comprimidos-revestidos/p;0.0;89.99;0
7899547535693;20.29;Drogal;Ivermectina 6mg Prati-Donaduzzi 4 Comprimidos;https://www.drogal.com.br/ivermectina-6mg-prati-donaduzzi-4-comprimidos/p;0.0;20.29;0
7896658038709;155.83;Drogal;Pant Sec Solução Capilar 50mg/ml 3 Frascos 50ml + 1 Válvula Spray;https://www.drogal.com.br/pant-sec-solucao-capilar-50mgml-3-frascos-50ml-1-valvula-spray/p;0.0;155.83;0
7891033070664;41.99;Drogal;Condicionador Eudora Siàge Cica-Therapy 200ml;https://www.drogal.com.br/condicionador-siage-cica-therapy-200ml/p;0.0;41.99;0
8902220105676;29.99;Drogal;Indapen SR 1,5mg 30 Comprimidos Revestidos de Liberação Prolongada;https://www.drogal.com.br/indapen-sr-15mg-30-comprimidos-revestidos-de-liberacao-prolongada/p;0.0;29.99;0
7891317042073;5.99;Drogal;Pastilha Valda Friends Sem Açúcar Sabor Yellow Mix Frutas Amarelas 25g;https://www.drogal.com.br/pastilha-valda-friends-sem-acucar-sabor-yellow-mix-frutas-amarelas-25g/p;0.0;5.99;0
8429420079632;88.75;Drogal;Protetor Solar Corporal Isdin Fotoprotector Gel Creme FPS50 198g;https://www.drogal.com.br/protetor-solar-corporal-isdin-fotoprotector-gel-creme-fps50-198g/p;0.0;88.75;0
7896082900054;16.39;Drogal;Sabonete Barra Acnase Ação Antisséptica 110g;https://www.drogal.com.br/sabonete-barra-acnase-acao-antisseptica-110g/p;0.0;16.39;0
7896523221724;22.99;Drogal;Gel Lubrificante Íntimo K-Med 100g;https://www.drogal.com.br/gel-lubrificante-intimo-k-med-100g/p;0.0;22.99;0
7509552917406;53.69;Drogal;"Spray Magic Retouch L&apos;Oreal Paris Castanho Escuro 75ml";https://www.drogal.com.br/spray-magic-retouch-loreal-paris-castanho-escuro-75ml/p;0.0;53.69;0
7898549756617;17.39;Drogal;Sabonete Barra Acnase Ação Esfoliante 80g;https://www.drogal.com.br/sabonete-barra-acnase-acao-esfoliante-80g/p;0.0;17.39;0
7896714200125;19.79;Drogal;Neo Fedipina 20mg 30 Comprimidos;https://www.drogal.com.br/neo-fedipina-20mg-30-cpr/p;0.0;19.79;0
7791293033266;14.89;Drogal;Desodorante Antitranspirante Aerosol Dove Go Fresh Romã e Verbena 150ml;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-dove-go-fresh-roma-e-verbena-150ml/p;0.0;14.89;0
7896671601782;25.39;Drogal;Shampoo Flores e Vegetais Hidratação Reparadora 310ml;https://www.drogal.com.br/shampoo-flores-e-vegetais-hidratacao-reparadora-310ml/p;0.0;25.39;0
7891800002027;48.69;Drogal;Algodão Cremer Hidrófilo Rolo 250g;https://www.drogal.com.br/algodao-cremer-rolo-250g/p;0.0;48.69;0
7897930778160;69.09;Drogal;Sabonete Facial de Limpeza Profunda Cetaphil Oil Control Antioleosidade 250ml;https://www.drogal.com.br/sabonete-facial-de-limpeza-profunda-cetaphil-oil-control-antioleosidade-250ml/p;0.0;69.09;0
7891150093256;19.99;Drogal;Kit Dove Nutrição + Fusão de Óleos Shampoo 350ml + Condicionador 175ml;https://www.drogal.com.br/kit-dove-nutricao--fusao-de-oleos-shampoo-350ml--condicionador-175ml/p;0.0;19.99;0
7896112435778;86.29;Drogal;Aradois H 50mg + 12,5mg 30 Comprimidos Revestidos;https://www.drogal.com.br/aradois-htc-50125mg-30-comprimidos/p;0.0;86.29;0
7891317014261;33.29;Drogal;Atrace 37,5mg + 325mg 10 Comprimidos Revestidos;https://www.drogal.com.br/atrace-375mg-325mg-10-comprimidos-revestidos/p;0.0;33.29;0
7896004713052;39.19;Drogal;Topiramato 50mg Germed 60 Comprimidos Revestidos;https://www.drogal.com.br/topiramato-50mg-germed-60-comprimidos-revestidos/p;0.0;39.19;0
7896523227627;15.29;Drogal;Nitrato de Miconazol 20mg/g Frasco 30ml - Cimed;https://www.drogal.com.br/nitrato-de-miconazol-20mgg-frasco-30ml-cimed/p;0.0;15.29;0
7898582380015;90.69;Drogal;Tramal Retard 100mg 10 Comprimidos Revestidos de Liberação Prolongada;https://www.drogal.com.br/tramal-100mg-10-comprimidos/p;0.0;90.69;0
7891150028470;22.89;Drogal;Loção Desodorante Hidratante Corporal Vasenol Recuperação Intensiva Repairing 200ml;https://www.drogal.com.br/locao-desodorante-hidratante-vasenol-recuperacao-intensiva-reparadora-200ml/p;0.0;22.89;0
7898185414209;27.69;Drogal;Kit Escova Dental Infantil Dentalclean Premium 3 em 1 Peppa Pig + Fio Dental 25m + Gel Dental Sabor Tutti-Frutti 50g 1 Unidade;https://www.drogal.com.br/kit-escova-dental-infantil-dentalclean-premium-3-em-1-peppa-pig-fio-dental-25m-gel-dental-sabor-tutti-frutti-50g-1-unidade/p;0.0;27.69;0
7899706188913;40.49;Drogal;"Coloração Casting Creme Gloss L&apos;Oreal 665 Framboesa";https://www.drogal.com.br/tinta-de-cabelo-casting-creme-gloss-665-framboesa-230g/p;0.0;40.49;0
5702157141920;221.39;Drogal;Brintellix 5Mg 30 comprimidos;https://www.drogal.com.br/brintellix-5-mg-30cpr-c1/p;0.0;221.39;0
7896676406177;53.29;Drogal;Dimorf 10mg 50 Cápsulas Duras;https://www.drogal.com.br/dimorf-10mg-50-capsulas-duras/p;0.0;53.29;0
7891150054462;8.89;Drogal;Shampoo Dove Hidratação 200ml;https://www.drogal.com.br/shampoo-dove-hidratacao-200ml/p;0.0;8.89;0
7896004706474;2.19;Drogal;Glibenclamida 5mg EMS 30 Comprimidos;https://www.drogal.com.br/glibenclamida-5mg-ems-30-comprimidos/p;0.0;2.19;0
7899852020570;31.39;Drogal;Base Líquida Vult Mega Matte Cor V120 Efeito Blur 26ml;https://www.drogal.com.br/base-liquida-vult-mega-matte-cor-v120-efeito-blur-26ml/p;0.0;31.39;0
7891317103323;27.99;Drogal;Betatrinta 5mg/ml + 2mg/ml Suspensão Injetável 1 Ampola de 1ml + Seringa Esterilizada com Sistema de Segurança;https://www.drogal.com.br/betatrinta-5mg-ml--2mg-ml-suspensao-injetavel-1-ampola-de-1ml--seringa-esterilizada-com-sistema-de-seguranca/p;0.0;27.99;0
5000456028370;207.79;Drogal;XigDuo XR 5mg/1000mg 60 Comprimidos Revestidos de Liberação Prolongada;https://www.drogal.com.br/xigduo-xr-5mg-1000mg-60-comprimidos-revestidos-de-liberacao-prolongada/p;0.0;207.79;0
