EAN;Produto;Preço (R$);Link
7896241245989;Hepa-Merz 0,6g/g, 10 envelopes com 5g de granulado de uso oral;128.95;https://www.drogaven.com.br/hepa-merz-06gg-10-envelopes-com-5g-de-granulado-de-uso-oral/p
7897129301506;Hixizine 2mg/mL, frasco com 120mL de solução de uso oral + seringa dosadora;59.75;https://www.drogaven.com.br/hixizine-2mgml-frasco-com-120ml-de-solucao-de-uso-oral-seringa-dosadora/p
7896191246159;Meia 3/4 Kendall 18-21mmHg M, ponteira aberta, mel;83.2;https://www.drogaven.com.br/meia-34-kendall-18-21mmhg-m-ponteira-aberta-mel/p
7702018037803;Aparelho para Barbear Gillette Mach3 Sensitive 1 unidade + refil;39.19;https://www.drogaven.com.br/aparelho-para-barbear-gillette-mach3-sensitive-1-unidade-refil/p
7898587774475;Creme de Tratamento Elseve Óleo Extraordinário Nutrição Intensa 300g;32.24;https://www.drogaven.com.br/creme-de-tratamento-elseve-oleo-extraordinario-nutricao-intensa-300g/p
7891317025571;Trok 20mg/g + 0,5mg/g, bisnaga com 30g de creme de uso dermatológico;37.12;https://www.drogaven.com.br/trok-20mgg-05mgg-bisnaga-com-30g-de-creme-de-uso-dermatologico/p
7896902211254;Óleo Semente de Uva Farmax  Corporal e Capilar  100ML;12.07;https://www.drogaven.com.br/oleo-semente-de-uva-farmax-30ml/p
7899095205062;Albel 400mg, caixa com 3 comprimidos mastigáveis;27.01;https://www.drogaven.com.br/albel-400mg-3cpr-albendazol/p
7908966527117;Condicionador Elseve Colagen Lifter 200mL;21.55;https://www.drogaven.com.br/condicionador-elseve-200ml-colagen-lifter/p
7898948648773;Cystera Plus Besins 30 Comprimidos;146.99;https://www.drogaven.com.br/cystera-plus-besins-30-comprimidos/p
3282779138758;Anacaps Ducray Activ+ leve 3 pague 2 caixas com 30 cápsulas cada;365.61;https://www.drogaven.com.br/anacaps-ducray-activ-leve-3-pague-2-caixas-com-30-capsulas-cada/p
7908007905478;Teste Rápido Autoteste MedTeste Covid-19 Ag 1 Teste;29.3;https://www.drogaven.com.br/autoteste-covid-ag-detect-medtest-1unidade/p
7897947612273;Creme Bepantriz Derma Dexpantenol 20g;22.44;https://www.drogaven.com.br/bepantriz-derma-creme-com-20g/p
7891142156020;Fluir 12mcg, 30 cápsulas de pó para inalação + inalador;81.81;https://www.drogaven.com.br/fluir-12mcg-30-capsulas-de-po-para-inalacao-inalador/p
7896094928916;Leite de Magnésia Estomazil 80mg/mL, frasco com 300mL de suspensão de uso oral;25.95;https://www.drogaven.com.br/leite-de-magnesia-estomazil-80mg-ml-frasco-com-300ml-de-suspensao-de-uso-oral/p
7899706149211;Sabonete Facial Barra La Roche-Posay Effaclar Concentrado 70g;69.86;https://www.drogaven.com.br/sabonete-facial-la-roche-posay-effaclar-concentrado-barra-70g/p
7896206402976;Nexium 40mg, 28 comprimidos revestidos;385.99;https://www.drogaven.com.br/nexium-40mg-28-comprimidos-revestidos/p
7891058021627;Bisolvon Cloridrato de Bromexina 4mg/5ml Xarope Expectorante Pediátrico Sabor Morango 120ml;28.74;https://www.drogaven.com.br/bisolvon-infantil-120ml/p
7898096577062;Pronazol 150mg, 2 cápsulas gelatinosas duras;25.77;https://www.drogaven.com.br/pronazol-150mg-2-capsulas-gelatinosas-duras/p
7896004703336;Fluconazol EMS 150mg, caixa com 1 cápsula gelatinosa dura;7.44;https://www.drogaven.com.br/fluconazol-150mg-1cpr-ems-generico/p
7896206402082;Atacand HCT 16mg + 12,5mg, 30 comprimidos;159.07;https://www.drogaven.com.br/atacand-hct-16mg-125mg-30-comprimidos/p
7891350034318;Esmalte Cremoso Risqué Terracota Que Provoca 8ml;5.73;https://www.drogaven.com.br/esmalte-cremoso-risque-terracota-que-provoca/p
7891106913799;Flanax 550mg, caixa com 15 comprimidos revestidos;31.05;https://www.drogaven.com.br/flanax-550mg-15cpr/p
7896676435658;Lunah 1mg/mL, frasco com 10mL de solução de uso oftálmico;56.18;https://www.drogaven.com.br/lunah-1mgml-frasco-com-10ml-de-solucao-de-uso-oftalmico/p
7896094919662;Ofolato D Fer 2.000UI, 30 comprimidos;139.66;https://www.drogaven.com.br/ofolato-d-fer-2000ui-30-comprimidos/p
7896112401285;Losartana Potássica + Hidroclorotiazida Biolab Genéricos 100mg + 25mg, 30 comprimidos revestidos;41.24;https://www.drogaven.com.br/losartana-potassica-hidroclorotiazida-biolab-genericos-100mg-25mg-30-comprimidos-revestidos/p
7908615090184;CeraVe, Loção Facial Hidratante, Fator de Proteção Solar FPS50, 52ml;123.04;https://www.drogaven.com.br/cerave-locao-facial-hidratante-fps50-52ml/p
7894222042756;Gelato Hidratante Corporal Cookies E Cream Sweet Skin 200ML;39.1;https://www.drogaven.com.br/desodorante-corporal-cookies-e-cream-sweet-skin-200ml/p
7896111902448;Esmalte Impala Infantil Stitch Aloha;8.98;https://www.drogaven.com.br/esmalte-impala-infantil-stitch-aloha/p
7896094921405;Buscopan 10mg/mL, frasco com 20mL de solução de uso oral;25.44;https://www.drogaven.com.br/buscopan-10mgml-frasco-com-20ml-de-solucao-de-uso-oral/p
7898037080033;Complexo Homeopático Almeida Prado Nº 3 frasco com 60 comprimidos;29.3;https://www.drogaven.com.br/complexo-homeopatico-almeida-prado-no-3-frasco-com-60-comprimidos/p
7891150102583;Condicionador Dove Reconstrução Aminoácido 600ml;48.57;https://www.drogaven.com.br/condicionador-dove-reconstrucaoaminoacido-600ml/p
7897322702209;Lisador 500mg + 5mg + 10mg, 16 comprimidos;43.11;https://www.drogaven.com.br/lisador-500mg-5mg-10mg-16-comprimidos/p
7891317478919;Betina 16mg, 30 comprimidos;26.71;https://www.drogaven.com.br/betina-16mg-30-comprimidos/p
7899852024677;Vult Esmalte 5F Fun 8mL Alegria De Viver;1.95;https://www.drogaven.com.br/vult-esmalte-5f-fun-8ml-alegria-de-viver/p
7896004769356;Lubrificante Ocular Adaptis 0,5% com 10mL;25.73;https://www.drogaven.com.br/lubrificante-ocular-adaptis-05-com-10ml/p
7890557722240;Chinelo Havaianas Top nº 39/40, azul naval;31.35;https://www.drogaven.com.br/chinelo-havaianas-top-no-3940-azul-naval/p
7891150037564;Shampoo Seda Jóias da Natureza Chá Verde & Cítricos (325mL);13.71;https://www.drogaven.com.br/shampoo-seda-joias-da-natureza-cha-verde-e-citricos-325ml/p
7896241241394;Aradois 25mg, 30 comprimidos revestidos;53.64;https://www.drogaven.com.br/aradois-25mg-30-comprimidos-revestidos/p
7891033935048;Eudora Perfume Intention (100mL);166.5;https://www.drogaven.com.br/eudora-perfume-intention-100ml/p
7896004728902;Modik 50mg/g, 12 sachês com 250mg de creme de uso dermatológico;253.21;https://www.drogaven.com.br/modik-50mgg-12-saches-com-250mg-de-creme-de-uso-dermatologico/p
7891317922535;Holmes 40mg, 30 comprimidos revestidos;49.74;https://www.drogaven.com.br/holmes-40mg-30-comprimidos-revestidos/p
7896004714295;Emistin 1mg/g + 0,05mg/g, bisnaga com 20g de creme de uso dermatológico;43.6;https://www.drogaven.com.br/emistin-1mgg-005mgg-bisnaga-com-20g-de-creme-de-uso-dermatologico/p
7898523201881;Patinho de Borracha Banho Alegre Vila Toy Amarelo;21.55;https://www.drogaven.com.br/brinquedo-de-banho-alegre-patinho-44-0188/p
7898647923850;Elástico Bellesa Meia Pastel Sem Emenda 0723-B 6 unidades;5.78;https://www.drogaven.com.br/elastico-bellesa-meia-pastel-sem-emenda-6un-0723-b/p
7908236800841;Xalacom 50mcg/mL + 5mg/mL, frasco com 2,5mL de solução de uso oftálmico;259.28;https://www.drogaven.com.br/xalacom-50mcgml-5mgml-frasco-com-25ml-de-solucao-de-uso-oftalmico/p
