EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação
7891024035528;C;SABONETE PROTEX VITAMINA E LV6 PG5 85G/510G;Drogaven;21.2;22.82;Drogaven;21.2;PRINCIPAL > PERFUMARIA > HIGIENE > CORPORAL > SABONETE BARRA
7899706190657;D;SHAMPOO DERCOS SENSI-SCALP CALM 200ML;Drogal;127.09;131.3;Drogal;127.09;PRINCIPAL > PERFUMARIA > BELEZA > DERMOCOSMETICO
7891150075238;C;SHAMPOO DOVE BABY HID GLICERINA 400ML;Drogal;25.99;22.05;DROGACENTRO;22.05;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > SHAMPOO
7899026417885;D;SHAMPOO ELSEVE COLORVIVE 400ML;Drogal;33.69;31.47;DROGACENTRO;31.47;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7898924603949;C;SHAMPOO HASKELL BANANEIRA 300ML;Drogaven;58.7;48.0;DROGACENTRO;48.0;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7500435154239;C;SHAMPOO PANTENE BAMBU NUTRE & CRESCE 400ML;Drogal;32.69;30.8;DROGACENTRO;30.8;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7500435196970;C;SHAMPOO PANTENE COLAGENO 175ML;Drogal;18.35;17.28;DROGACENTRO;17.28;PRINCIPAL > PERFUMARIA > CABELO > SHAMPOO 
7891010020279;C;SUNDOWN FPS 50 ECON.200ML;Drogaven;73.4;56.26;DROGACENTRO;56.26;PRINCIPAL > PERFUMARIA > BELEZA > PROTETOR PELE > classificar
7702031244653;C;TALCO J&J HORA DO SONO 100G;Drogal;32.59;24.91;DROGACENTRO;24.91;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > TALCO
7896020160083;C;TENYS PE BARUEL MULHER 100G;Drogaven;15.58;14.69;DROGACENTRO;14.69;PRINCIPAL > PERFUMARIA > MASCULINO > TALCO/ANTISSEPTICO PES
7899852021362;D;VULT MASCARA CILIOS EXTREME SUPER LASHES 10G;Drogaven;60.26;47.34;DROGACENTRO;47.34;PRINCIPAL > PERFUMARIA > BELEZA > MAQUIAGEM > classificar
