EAN;Menor preço (R$);Origem;Produto;Link;Drogaven;Drogal;DrogaRaia
7896094927551;55.89;Drogal;Alektos 20mg 20 Comprimidos;https://www.drogal.com.br/alektos-20mg-20-comprimidos/p;65.8;55.89;0.0
7898636193943;35.99;Drogal;Creme Antifúngico Lakesia Pes 20g;https://www.drogal.com.br/creme-antifungico-lakesia-pes-20g/p;0.0;35.99;0.0
7891317140885;67.47;Drogaven;Piemonte 10mg, 30 comprimidos revestidos;https://www.drogaven.com.br/piemonte-10mg-30-comprimidos-revestidos/p;67.47;0.0;0.0
7891350046120;6.76;Drogaven;ESMALTE RISQUE CHILLI BEANS METAL PROFUNDEZAS DO MEU EU;https://www.drogaven.com.br/esmalte-risque-chilli-beans-metal-profundezas-do-meu-eu/p;6.76;0.0;0.0
3282770393989;54.89;Drogal;Protetor Solar Facial Darrow Actine One Sem Cor FPS50 40g;https://www.drogal.com.br/protetor-solar-facial-darrow-actine-one-sem-cor-fps50-40g/p;62.02;54.89;0.0
7891033471676;39.59;Drogal;Shampoo Eudora Siàge Combate O Frizz 250ml;https://www.drogal.com.br/shampoo-eudora-siage-combate-o-frizz-250ml/p;0.0;39.59;0.0
7500435209311;26.94;Drogaven;Condicionador Hidratante Pantene Pro-V Miracles Equílibrio Raiz e Pontas 250mL;https://www.drogaven.com.br/condicionador-hidratante-pantene-pro-v-miracles-equilibrio-raiz-e-pontas-250ml/p;26.94;0.0;0.0
7899824400676;115.93;Drogaven;Zirvit Plus 30 comprimidos revestidos;https://www.drogaven.com.br/zirvit-plus-30-comprimidos-revestidos/p;115.93;0.0;0.0
7896512909794;4.29;Drogal;Sabonete em Barra Phebo Toque de Lavanda 90g;https://www.drogal.com.br/sabonete-em-barra-phebo-toque-de-lavanda-90g/p;4.8;4.29;0.0
78907850;8.99;Drogal;Loção Corporal Deo Hidratante Paixão Inspiradora Rosas Brancas com Óleo de Amêndoas 200ml;https://www.drogal.com.br/locao-corporal-deo-hidratante-paixao-inspiradora-rosas-brancas-com-oleo-de-amendoas-200ml/p;10.67;8.99;0.0
4987188501115;13.39;Drogal;Salonpas Gel-Patch 3 Unidades;https://www.drogal.com.br/adesivo-gel-patch-salonpas-tamanho-14cmx10cm-3-unidades/p;0.0;13.39;0.0
7898244721026;136.39;Drogal;Unitram 20mg 30 Comprimidos Revestidos;https://www.drogal.com.br/unitram-20mg-30-comprimidos-revestidos/p;0.0;136.39;0.0
7898954372518;3.89;Drogal;Energético Xplode 2 Cápsulas;https://www.drogal.com.br/energetico-xplode-2-capsulas/p;0.0;3.89;0.0
7891033718597;44.72;Drogaven;Protetor Solar Australian Gold Instant Bronzer FPS 8, spray gel com 125mL;https://www.drogaven.com.br/protetor-solar-australian-gold-instant-bronzer-fps-8-spray-gel-com-125ml/p;44.72;0.0;0.0
7891150037564;12.89;Drogal;Shampoo Seda Joias da Natureza Chá Verde e Cítricos 325ml;https://www.drogal.com.br/shampoo-seda-joias-da-natureza-cha-verde-e-citricos-325ml/p;0.0;12.89;0.0
7891010256746;14.25;Drogal;Antisséptico Bucal Listerine Cool Mint Refrescância Intensa 250ml;https://www.drogal.com.br/antisseptico-bucal-listerine-cool-mint-refrescancia-intensa-250ml/p;0.0;14.25;0.0
7500435240512;34.29;Drogaven;Óleo Milagroso Finalizador e Leave-in Pantene Miracles Queratina 95ml;https://www.drogaven.com.br/pantene-oleo-capilar-queratina-95ml/p;34.29;0.0;0.0
7896181921011;14.69;Drogal;Prednisolona 20mg Biosintética 10 Comprimidos;https://www.drogal.com.br/prednisolona-20mg-biosintetica-10-comprimidos/p;0.0;14.69;0.0
7896015516970;4.26;Drogaven;Sal de Frutas Eno 2 envelopes com 5g de pó efervescente de uso oral, guaraná;https://www.drogaven.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-guarana/p;4.26;0.0;0.0
7891033534715;39.59;Drogal;Shampoo Eudora Siàge Loiro Expert 250ml;https://www.drogal.com.br/shampoo-eudora-siage-loiro-expert-250ml/p;0.0;39.59;0.0
7622210570086;2.99;Drogal;Chocolate Stick Lacta Recheio Sonho de Valsa 25g;https://www.drogal.com.br/chocolate-stick-lacta-recheio-sonho-de-valsa-25g/p;3.45;2.99;0.0
7891150095250;19.99;Drogal;Kit Dove Ritual de Reparação Shampoo 350ml + Condicionador 175ml;https://www.drogal.com.br/kit-dove-ritual-de-reparacao-shampoo-350ml--condicionador-175ml/p;26.45;19.99;0.0
7896658035340;147.59;Drogal;Solução Capilar Pant 50mg/ml 3 Frascos 50ml + 1 Válvula Spray;https://www.drogal.com.br/solucao-capilar-pant-50mgml-3-frascos-50ml-1-valvula-spray/p;170.52;147.59;0.0
7891317030087;161.42;Drogaven;LA IMMUNITA 150ML;https://www.drogaven.com.br/la-immunita-150ml/p;161.42;0.0;0.0
