EAN;Produto;Preço (R$);Link
0042882099888;Gel de Limpeza Facial Principia GL-01 Mix de Tensoativos + Ácido Salicílico + Glicerina 500g;68.99;https://www.drogal.com.br/gel-de-limpeza-principia-gl-01-500g/p
7896004819716;Colágeno Neosil 90 Comprimidos;361.95;https://www.drogal.com.br/colageno-neosil-90-comprimidos/p
7894900180503;Schweppes Citrus Lata 350ml;6.55;https://www.drogal.com.br/schweppes-citrus-lata-350ml/p
7896714292069;Ecoxe 60mg 14 Comprimidos Revestidos;121.89;https://www.drogal.com.br/ecoxe-60mg-14-comprimidos-revestidos/p
7891142206718;Suplemento Alimentar Bifilac Geflora 14 Sticks;91.19;https://www.drogal.com.br/suplemento-alimentar-bifilac-geflora-14-sticks/p
7891150023321;Máscara de Tratamento Tresemmé Reconstrução Intensa 400g;25.89;https://www.drogal.com.br/mascara-de-tratamento-tresemme-reconstrucao-intensa-400g/p
7891000414477;Nutrição Enteral e Oral Impact Sabor Pêssego 200ml;25.99;https://www.drogal.com.br/nutricao-enteral-e-oral-impact-sabor-pessego-200ml/p
7891317016333;Bilastina 20mg Eurofarma 30 Comprimidos;50.89;https://www.drogal.com.br/bilastina-20mg-eurofarma-30-comprimidos/p
7896714275253;Suplemento Alimentar Blumel Imune Kids Solução Oral Sabor Mel 60ml;33.89;https://www.drogal.com.br/suplemento-alimentar-blumel-imune-kids-solucao-oral-sabor-mel-60ml/p
7896663332724;Propomax Kids Gomas de Própolis Sabor Morango 40g;21.59;https://www.drogal.com.br/propomax-kids-gomas-de-propolis-sabor-morango-40g/p
7896658052989;Aripiprazol 10mg Biosintética 60 Comprimidos;159.69;https://www.drogal.com.br/aripiprazol-10mg-biosintetica-60-comprimidos/p
7891010255046;Creme Para Pentear Johnson’s Kids Blackinho Poderoso 200ml;46.29;https://www.drogal.com.br/creme-para-pentear-johnsons-kids-blackinho-poderoso-200ml/p
7896004727158;Infralax 15 Comprimidos;10.09;https://www.drogal.com.br/infralax-c-15-cpr/p
7908079500373;Suplemento Alimentar Borg Cálcio + Vitamina K + D + Magnésio 60 Cápsulas;49.9;https://www.drogal.com.br/suplemento-alimentar-borg-calcio-vitamina-k-d-magnesio-60-capsulas/p
7891317016418;AltaD Caps 7.000 UI 4 Cápsulas Moles;18.58;https://www.drogal.com.br/altad-caps-7000-ui-4-capsulas-moles/p
