EAN;Produto;Preço (R$);Link
7900083011050;Batom Satin Ruby Rose Lip Luxe LL80 4g;12.39;https://www.drogal.com.br/batom-satin-ruby-rose-lip-luxe-ll80-4g/p
7891024028704;Enxaguante Bucal Colgate Total 12 Anti Tártaro 250ml;17.65;https://www.drogal.com.br/enxaguante-bucal-colgate-total-12-anti-tartaro-250ml/p
7898919411917;Óleo Deo Corporal Paixão Avelã 100ml;17.79;https://www.drogal.com.br/oleo-deo-corporal-paixao-avela-100ml/p
7896226506142;Tamiflu 75mg com 10 cápsulas;308.99;https://www.drogal.com.br/tamiflu-75mg-10-caps/p
618231943777;"Barra de Proteína +Mu Choco Wheyfer Cookies&apos;n Cream 25g";7.55;https://www.drogal.com.br/barra-de-proteina-muke-mukebar-cookiesn-cream-25g/p
7898040323899;Junno 100mg 30 Cápsulas Moles;68.69;https://www.drogal.com.br/junno-100mg-30-capsulas-moles/p
7891000223666;Suplemento Alimentar Nutren Ômega 3 60 Cápsulas;69.29;https://www.drogal.com.br/suplemento-alimentar-nutren-omega-3-60-capsulas/p
7891000311172;Kit Complemento Alimentar Nutren Senior Sem Sabor 2 Unidades 740g 1,48Kg;293.23;https://www.drogal.com.br/kit-suplemento-alimentar-nutren-senior-sem-sabor-2-unidades-740g/p
7891317478919;Betina 16mg 30 Comprimidos Revestidos;24.39;https://www.drogal.com.br/betina-16mg-30-comprimidos-revestidos/p
070330731745;Aparelho Depilatorio Bic Soleil Leite De Coco 2 Unidades;16.89;https://www.drogal.com.br/aparelhodepilatoriobicsoleilleitedecococom2unidades/p
7899547532586;Maizher 10mg 120 Comprimidos;80.49;https://www.drogal.com.br/maizher-10mg-120-comprimidos/p
7895144893730;Goma de Mascar Mentos Pure Fresh Sabor Strong Mint 8,5g;4.05;https://www.drogal.com.br/goma-de-mascar-mentos-pure-fresh-sabor-menta-forte-85g/p
7898636191048;Creme Corporal Cicatricure Antiestrias 250g;47.79;https://www.drogal.com.br/creme-corporal-cicatricure-antiestrias-250g/p
7896548112229;Mydriacyl 10mg/ml Solução Oftálmica Estéril 5ml;19.49;https://www.drogal.com.br/mydriacyl-10mgml-solucao-oftalmica-esteril-5ml/p
7898700412512;Paracetamol 750mg Vitamedic 20 Comprimidos;22.57;https://www.drogal.com.br/paracetamol-750mg-vitamedic-20-comprimidos/p
7891721022579;Glifage XR 1g 30 Comprimidos de Liberação Prolongada;46.69;https://www.drogal.com.br/glifage-xr-1g-30-comprimidos-de-liberacao-prolongada/p
7896637037464;Lecza XR 750mg 30 Comprimidos Revestidos de Liberação Prolongada;120.49;https://www.drogal.com.br/lecza-xr-750mg-30-comprimidos-revestidos-de-liberacao-prolongada/p
4006000159188;Hidratante Labial Nivea Disney Princesas Moana Ediçao Limitada Sorbet de Melancia 4,8g;26.99;https://www.drogal.com.br/hidratante-labial-nivea-disney-princesas-moana-sorbet-de-melancia-48g/p
7896004715322;Alendronato de Sódio 70mg EMS 4 Comprimidos;13.29;https://www.drogal.com.br/alendronato-sod-70mg-4cpgems/p
7891150095786;Sérum Hidratante Corporal Dove Hialurônico + Dermo Renovador 180ml;27.89;https://www.drogal.com.br/serum-corporal-dove-hialuronico-pele-seca-e-extra-seca-180ml/p
7896094921207;Antiácido Estomazil Pó Efervescente Sabor Abacaxi 6 Sachês;13.59;https://www.drogal.com.br/estomazil-po-efervescente-abacaxi-6-unidades-sache-5g-cada/p
7898079005728;Lenços Umedecidos Prudence para Higiêne Íntima 20 Unidades;7.99;https://www.drogal.com.br/lencos-umedecidos-prudence-para-higiene-intima-20-unidades/p
7896658002939;Novamox 2x 20 Comprimidos Revestidos;190.75;https://www.drogal.com.br/novamox-2x-20-comprimidos-revestidos/p
7509546702858;Kit Enxaguante Bucal Colgate Total Clean Mint 500ml + Creme Dental Colgate Total Clean Mint 90g;22.29;https://www.drogal.com.br/kit-enxaguante-bucal-colgate-total-clean-mint-500ml-creme-dental-colgate-total-clean-mint-90g/p
7896423419276;"M&amp;M&apos;s Tubo Chocolate ao Leite 30g";5.99;https://www.drogal.com.br/mms-tubo-chocolate-ao-leite-30g/p
7896622305875;Antiácido Gastrol 10 Pastilhas Mastigáveis;10.69;https://www.drogal.com.br/gastrol-antiacido-10-pastilhas-mastigaveis/p
7897316801390;Cromolerg 2% Solução Oftálmica Estéril 5ml;16.39;https://www.drogal.com.br/cromolerg-2-solucao-oftalmica-esteril-5ml/p
7897595611185;Candesartana Cilexetila 16mg Sandoz 60 Comprimidos;97.49;https://www.drogal.com.br/candesartana-cilexetila-16mg-sandoz-60-comprimidos/p
7897595620279;Cloridrato de Loperamida 2mg 12 Comprimidos - Sandoz;4.99;https://www.drogal.com.br/cloridrato-de-loperamida-2mg-12-comprimidos-sandoz/p
7897595612397;Alopurinol 100mg Sandoz 60 Comprimidos;18.99;https://www.drogal.com.br/alopurinol-100mg-sandoz-60-comprimidos/p
4006000104157;Desodorante Antitranspirante Roll On Nivea Men Deep Carvão Ativado 50ml;10.89;https://www.drogal.com.br/desodorante-antitranspirante-roll-on-nivea-men-deep-carvao-ativado-50ml/p
7891317476410;Preni 3mg/ml Solução Oral 120ml + Seringa Dosadora;47.89;https://www.drogal.com.br/preni-3mg-ml-solucao-oral-120ml-seringa-dosadora/p
7891317038762;Pastilhas Valda Beetlejuice Sabor Uva Mentolada 50g;32.99;https://www.drogal.com.br/pastilhas-valda-beetlejuice-sabor-uva-mentolada-50g/p
7896046700300;Pó Descolorante Rápido Lightner +10 Gérmen de Trigo 20g;5.99;https://www.drogal.com.br/descol-lightner-po-20g-g-trigo/p
7891010607135;Absorvente Sempre Livre Conforto Noturno Suave Com Abas 16 Unidades;25.35;https://www.drogal.com.br/absorvente-sempre-livre-adapt-plus-com-abas-16-unidades/p
7899547500233;Orlistate 120mg Prati Donaduzzi 42 Cápsulas Duras;109.89;https://www.drogal.com.br/orlistate-120mg-prati-donaduzzi-42-capsulas/p
4005900905871;Kit Hidratante Corporal Nivea Q10 2 Unidades 400ml Cada;78.7;https://www.drogal.com.br/kit-hidratante-corporal-nivea-q10-2-unidades-400ml-cada/p
7896262304306;Bala Mastigável Mentos Mint 38g;4.35;https://www.drogal.com.br/bala-mastigavel-mentos-mint-38g/p
7898970233008;Creme Corporal Bumbum Cream Beleza Brasileira 200g;119.89;https://www.drogal.com.br/creme-corporal-bumbum-cream-beleza-brasileira-200g/p
7891150021679;Shampoo e Condicionador Dove Men +Care 2 em 1 Força Resistente 400ml;37.49;https://www.drogal.com.br/shampoo-dove-men-2-em-1-forca-resistente-400ml/p
7896006213123;Suplemento Alimentar Colact Solução Oral Sem Sabor + Copo Dosador 120ml;18.29;https://www.drogal.com.br/colact-667mgml-xpe120ml-ssab/p
7891150100053;Sorvete Kibon Magnum Pistache 65g;19.99;https://www.drogal.com.br/sorvete-kibon-magnum-pistache-65g/p
7899095203532;Cisteil 20mg/ml Xarope Solução Oral Sabor Framboesa 120ml + 1 Copo Dosador;27.59;https://www.drogal.com.br/cisteil-20mgml-120ml/p
7896658037993;Limpeza Facial Puriance Control Profuse 150ml;49.29;https://www.drogal.com.br/limpeza-facial-puriance-control-profuse-150ml/p
7908079515667;Epadose Sabor Boldo 1 Flaconete 10ml;2.42;https://www.drogal.com.br/epadose-sabor-boldo-1-flaconete-10ml/p
7891962078113;Mini Chocottone Fini Beijos Bauducco 80g;9.99;https://www.drogal.com.br/mini-chocottone-fini-beijos-bauducco-80g/p
7891000448366;Suplemento Alimentar Adulto em Pó Nestlé Vital Ritual Noturno Sabor Baunilha 360g;75.95;https://www.drogal.com.br/suplemento-alimentar-adulto-em-po-nestle-vital-ritual-noturno-sabor-baunilha-360g/p
4015630064250;Kit Sistema de Monitorização de Glicemia Accu-Chek Active + Tiras-teste 10 Unidades;150.49;https://www.drogal.com.br/kitaccuchekactivecontroledeglicemia/p
7891150075405;"Sabonete Líquido Dove Antibacteriano Cuida &amp; Protege 250ml";13.99;https://www.drogal.com.br/sabonete-liquido-dove-antibacteriano-cuida-protege-250ml/p
7899095230309;Cloridrato de Ciprofloxacino 3,5mg/ml + Dexametasona 1mg/ml Geolab Solução Oftálmica 5ml;22.69;https://www.drogal.com.br/clor-ciprodex-col-5mlggeo/p
7896206402211;Symbicort Turb 6/200mcg pó para inalação 60 doses;141.42;https://www.drogal.com.br/symbicort-turb-6200mcg-60-dos/p
7891024042984;Kit Creme Dental Para Sensibilidade Colgate Sensitive Pro Alívio Imediato Original 3 Unidades 90g Cada;26.99;https://www.drogal.com.br/kit-creme-dental-para-sensibilidade-colgate-sensitive-pro-alivio-imediato-original-3-unidades-90g-cada/p
7891350048971;Esmalte Risqué Mistérios do Inverno Look Invernal 9ml;7.85;https://www.drogal.com.br/esm-risque-misterios-inverno-look-invern-9ml/p
0631430481819;Suplemento Alimentar Good Vit Carbonato de Cálcio 60 Cápsulas;39.99;https://www.drogal.com.br/suplemento-alimentar-good-vit-carbonato-de-calcio-60-capsulas/p
7896261012608;Diovan Amlo Fix 320 + 10mg caixa com 28 comprimidos revestidos;207.14;https://www.drogal.com.br/diovan-amlo-fix-32010mg-28cpr/p
7891317180539;Desogestrel 75mcg Eurofarma 28 Comprimidos Revestidos;20.39;https://www.drogal.com.br/desogestrel-75mcg-eurofarma-28-comprimidos-revestidos/p
7891000113295;Cereal Infantil Mucilon Aveia e Ameixa 180g;8.85;https://www.drogal.com.br/cereal-infantil-mucilon-aveia-e-ameixa-180g/p
7898414851911;Suplemento Alimentar Imecap Face 60 Cápsulas;89.59;https://www.drogal.com.br/imecap-face-60-capsulas/p
7908615025940;Esmalte Colorama Universo Paralelo Azul Hacker 8ml;6.59;https://www.drogal.com.br/esmalte-colorama-universo-paralelo-azul-hacker-8ml/p
7908079505491;Enxaguante Bucal Perionex Oral Nexter Tradicional 250ml;28.69;https://www.drogal.com.br/enxaguante-bucal-perionex-oral-nexter-tradicional-250ml/p
7898103650955;Acalmilfito 20 Comprimidos;21.89;https://www.drogal.com.br/acalmilifito-20-comprimidos-revestidos/p
7897129301223;Micolamina Loção 50ml;84.19;https://www.drogal.com.br/micolaminalocao50ml/p
7899095246966;Cloridrato De Tansulosina Geolab 0,4mg 60 Comprimidos;128.99;https://www.drogal.com.br/cloridrato-de-tansulosina-geolab-04mg-60-comprimidos/p
7896235354116;Loção Acetinada Deo Hidratante Paixão Flor de Baunilha 300g;24.99;https://www.drogal.com.br/locao-paixao-hidratante-deo-acetinada-flor-de-baunilha-300g/p
7891317011598;Melocox ODT 15mg 10 Comprimidos Orodispersíveis;35.99;https://www.drogal.com.br/melocox-odt-15mg-10-comprimidos-orodispersiveis/p
7891317043018;Suplemento Alimentar 20 Bi Fibras 10 Sachês 5g Cada;101.71;https://www.drogal.com.br/suplemento-alimentar-20-bi-fibras-10-saches-5g-cada/p
7896026171250;Protetor Solar Facial Umbrella Intelligent Fluido FPS50 50g;87.49;https://www.drogal.com.br/protetor-solar-umbrella-intelligent-fluido-fps50-50g/p
7891317004293;Prednisolona 5mg Eurofarma 10 Comprimidos;5.09;https://www.drogal.com.br/prednisolona-5mg-eurofarma-10-comprimidos/p
7896004747880;Celecoxibe 200mg EMS 10 Cápsulas Duras;38.99;https://www.drogal.com.br/celecoxibe-200mg-10-ems-capsulas-duras/p
7908228805120;Balas de Gelatina Fini Polvo 80g;7.99;https://www.drogal.com.br/bala-de-gelatina-fini-polvo-80g/p
7898430190872;Dprev 10.000UI 30 Comprimidos Revestidos;112.86;https://www.drogal.com.br/dprev-10000ui-30-comprimidos-revestidos/p
7896018700314;Condicionador Huggies Extra Suave 200ml;19.55;https://www.drogal.com.br/condicionador-huggies-extra-suave-200ml/p
7896112408611;Beneflora 5 Bilhões Pó para Solução Oral Sem Sabor 6 Sachês 4g;51.29;https://www.drogal.com.br/beneflora-5-bilhoes-po-para-solucao-oral-sem-sabor-6-saches-4g/p
7891721202391;Aciclovir 400mg Merck 30 Comprimidos;101.19;https://www.drogal.com.br/aciclovir-400mg-merck-30-comprimidos/p
5702150152176;Rexulti 2mg 30 Comprimidos;446.69;https://www.drogal.com.br/rexulti-2mg-30-comprimidos/p
4015630064175;Tiras para Controle de Glicemia Accu-Chek Active 25 Unidades;75.45;https://www.drogal.com.br/tiras-para-controle-de-glicemia-accu-chek-active-25-unidades/p
7896112400165;Doss 50000ui  4 Cápsulas;68.9;https://www.drogal.com.br/doss50000ui4capsulas/p
7891317000608;Desve 50mg 30 Comprimidos Revestidos de Liberação Prolongada;73.79;https://www.drogal.com.br/desve-50mg-30-comprimidos-revestidos-de-liberacao-prolongada/p
7896007553587;Fralda Huggies Máxima Proteção G 92 Unidades;129.85;https://www.drogal.com.br/fralda-huggies-supreme-care-g-max-92-unidades/p
7898524349438;Shampoo Salon Line Meu Liso Demais 300ml;16.89;https://www.drogal.com.br/shampoo-salon-line-meu-liso-demais-300ml/p
0382903201785;Agulhas Descartáveis para Caneta de Insulina BD Ultra-Fine 32g x 4mm 10 Unidades;17.89;https://www.drogal.com.br/agulhas-descartaveis-para-caneta-de-insulina-bd-ultra-fine-32g-x-4mm-10-unidades/p
7896262301022;Bala Mastigável Fruittella Sabor Morango 40g;3.65;https://www.drogal.com.br/bala-mastigavel-fruitella-stick-sabor-suco-de-frutas-40g/p
7896676435214;Mirugell Solução Oftálmica Estéril 5ml;25.99;https://www.drogal.com.br/mirugell-solucao-oftalmica-esteril-5ml/p
7898687734447;Bromidrato de Vortioxetina 10mg Althaia 30 Comprimidos Revestidos;90.29;https://www.drogal.com.br/bromidrato-de-vortioxetina-10mg-althaia-30-comprimidos-revestidos/p
7896004704036;Nimesulida 100mg EMS 12 Comprimidos;6.69;https://www.drogal.com.br/nimesulida-100mg-ems-12-comprimidos/p
7794640173608;Sal de Andrews Sem Sabor Sachê 5g;1.79;https://www.drogal.com.br/sal-de-andrews-sem-sabor-sache-5g/p
7908079500663;Escova De Cabelo Sveda Hair Antares Flexível Oval Vazada 1 Unidade;15.15;https://www.drogal.com.br/escova-de-cabelo-sveda-hair-antares-flexivel-oval-vazada-1-unidade/p
